The scientific measurement LUMEN is a measure of what?,Weight,Pressure,Light,C
In which city is the European Parliament based?,Berlin,Brussels,Belfast,B
Which country had a secret police force known as the Tonton Macoute?,Haiti,France,French Guiana,A
What is the capital of India?,New Delhi,Mumbai,Hyperabad,A
What building is displayed on a HP sauce bottle?,Houses of Parliament,Buckingham Palace,10 Downing Street,A
To which country does the territory of Christmas Island belong?,New Zealand,Australia,USA,B
In which city was the Titanic built?,Southampton,York,Belfast,C
Chronophobia is the fear of what?,Space,Time,Energy,B
In computing what does USB stand for?,Universal Serial Bus,Universal Safe Bus,Universal Slide Bus,A
What is the capital of Libya?,Monrovia,Nairobi ,Tripoli,C
What do the initials J.K stand for in J.K. Rowling?,Janice Kathleen,Joanne Katherine,Joanne Kathleen,C
In which Shakespeare play would you find the character Ophelia?,Hamlet,A Winters Tale,Romeo & Juliet,A
Which bird lays the largest egg in the world?,Swan,Ostrich,Peacock,B
What is the smallest country in the world?,Luxembourg,Vatican City,Northern Ireland,B
"In the TV show Friday Night Dinner, what is Jim's dog called?",Wilson,William,Willis,A
